rally,ball_round,time,frame_num,roundscore_a,roundscore_b,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,__match_name,__set_file,is_smash,smash_success,distance_to_birdie
16,4.0,00:14:15,25676.0,7,9,B,3,殺球,,,1.0,7.0,654.0,505.0,2.0,8.0,731.0,322.0,對手落地致勝,落地致勝,B,,8.0,621.0,521.0,7.0,604.0,408.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,True,1,227.37853900489378
19,16.0,00:17:02,30676.0,8,11,A,3,殺球,,,1.0,8.0,524.0,330.0,2.0,6.0,394.0,596.0,對手落地致勝,落地致勝,A,,8.0,535.0,330.0,8.0,654.0,532.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,True,1,301.0597947252339
24,10.0,00:19:32,35174.0,12,12,B,3,殺球,,,1.0,8.0,553.0,604.0,2.0,11.0,847.0,339.0,出界,對手出界,A,,8.0,611.0,567.0,8.0,621.0,342.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,True,0,328.1463088318989
34,8.0,00:25:54,46648.0,18,16,A,3,殺球,1.0,,1.0,9.0,749.0,313.0,2.0,6.0,448.0,522.0,對手落地致勝,落地致勝,A,,9.0,641.0,317.0,8.0,609.0,517.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,True,1,281.55638866841576
2,6.0,00:34:07,61419.0,1,1,B,3,殺球,,,1.0,4.0,802.0,314.0,2.0,15.0,970.0,606.0,出界,對手出界,A,,9.0,729.0,316.0,8.0,743.0,564.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,True,0,377.068959210381
8,3.0,00:36:54,66444.0,5,3,A,3,殺球,,,1.0,5.0,855.0,578.0,2.0,11.0,856.0,324.0,出界,對手出界,B,,8.0,740.0,581.0,8.0,600.0,338.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,True,0,281.966310044303
12,6.0,00:39:31,71152.0,6,6,B,3,殺球,1.0,,1.0,4.0,785.0,317.0,2.0,3.0,910.0,618.0,對手落地致勝,落地致勝,B,,8.0,716.0,328.0,8.0,716.0,525.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,True,1,348.9068643635433
14,4.0,00:40:24,72748.0,8,6,B,3,點扣,1.0,,1.0,9.0,719.0,319.0,2.0,15.0,953.0,610.0,出界,對手出界,A,,8.0,645.0,348.0,7.0,566.0,485.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,True,0,404.36122464944634
15,15.0,00:41:00,73815.0,8,7,A,3,殺球,1.0,,1.0,8.0,507.0,561.0,2.0,7.0,646.0,450.0,掛網,對手掛網,B,,8.0,602.0,550.0,8.0,648.0,369.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,True,0,109.2520022699813
17,5.0,00:42:09,75885.0,9,8,B,3,殺球,1.0,,1.0,4.0,784.0,314.0,2.0,11.0,355.0,536.0,出界,對手出界,A,,9.0,716.0,316.0,8.0,715.0,544.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,True,0,422.75406562208246
27,7.0,00:48:49,87897.0,15,12,A,3,殺球,,,1.0,5.0,876.0,578.0,2.0,6.0,774.0,337.0,對手落地致勝,落地致勝,A,,5.0,855.0,568.0,8.0,654.0,350.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,True,1,244.78970566590417
28,15.0,00:49:24,88924.0,16,12,A,3,殺球,,,1.0,7.0,742.0,489.0,2.0,8.0,734.0,353.0,對手落地致勝,落地致勝,A,,7.0,730.0,480.0,8.0,535.0,325.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,True,1,127.06297651164952
30,4.0,00:50:30,90917.0,18,12,B,3,殺球,1.0,,1.0,4.0,774.0,318.0,2.0,11.0,344.0,535.0,出界,對手出界,A,,8.0,744.0,324.0,8.0,717.0,558.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,True,0,452.2399805413051
5,13.0,00:11:22,17056.0,1,4,B,3,點扣,1.0,,1.0,9.0,738.0,257.0,2.0,7.0,641.0,392.0,掛網,對手掛網,A,,9.0,675.0,254.0,8.0,689.0,523.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,True,0,142.12670403551894
16,7.0,00:17:53,26837.0,9,7,B,3,點扣,,,1.0,5.0,510.0,275.0,2.0,7.0,633.0,398.0,掛網,對手掛網,A,,8.0,568.0,283.0,8.0,565.0,498.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,True,0,132.09844813622905
25,36.0,00:25:08,37712.0,14,11,A,3,點扣,1.0,,1.0,8.0,613.0,598.0,2.0,6.0,815.0,280.0,對手落地致勝,落地致勝,A,,8.0,610.0,602.0,8.0,606.0,296.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,True,1,381.7184826544295
31,12.0,00:29:52,44816.0,18,13,B,3,點扣,1.0,,1.0,9.0,713.0,262.0,2.0,7.0,595.0,399.0,掛網,對手掛網,A,,9.0,683.0,261.0,8.0,684.0,524.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,True,0,163.67040050051813
2,11.0,00:35:35,53375.0,1,1,A,3,點扣,,,1.0,9.0,564.0,260.0,2.0,1.0,476.0,401.0,掛網,對手掛網,B,,9.0,617.0,270.0,8.0,649.0,530.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,True,0,192.46298345396187
7,11.0,00:38:09,57240.0,3,4,B,3,點扣,1.0,,1.0,3.0,474.0,631.0,2.0,11.0,841.0,295.0,出界,對手出界,A,,9.0,526.0,631.0,8.0,601.0,311.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,True,0,460.5659561886875
13,14.0,00:43:22,65074.0,3,10,A,3,點扣,,,1.0,3.0,537.0,265.0,2.0,1.0,492.0,398.0,掛網,對手掛網,B,,8.0,623.0,276.0,8.0,672.0,503.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,True,0,179.0111728356641
14,15.0,00:44:21,66527.0,3,11,B,3,點扣,1.0,,1.0,5.0,461.0,593.0,2.0,6.0,800.0,280.0,對手落地致勝,落地致勝,B,,8.0,499.0,589.0,8.0,596.0,295.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,True,1,431.3722290551398
21,5.0,00:48:23,72591.0,6,15,A,3,殺球,1.0,,1.0,8.0,687.0,272.0,2.0,6.0,873.0,546.0,對手落地致勝,落地致勝,A,,8.0,687.0,284.0,8.0,699.0,567.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,True,1,321.30981933330327
22,3.0,00:48:50,73268.0,6,16,A,3,點扣,,,1.0,9.0,558.0,264.0,2.0,11.0,928.0,532.0,出界,對手出界,B,,8.0,598.0,272.0,8.0,658.0,524.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,True,0,420.11903075200007
29,3.0,00:51:36,77404.0,10,19,A,3,點扣,1.0,,1.0,8.0,642.0,282.0,2.0,5.0,481.0,526.0,對手落地致勝,落地致勝,A,,8.0,627.0,302.0,8.0,649.0,571.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,True,1,267.3798795721174
2,9.0,00:55:40,83509.0,1,1,A,3,點扣,,,1.0,8.0,691.0,587.0,2.0,7.0,578.0,403.0,掛網,對手掛網,B,,8.0,669.0,587.0,8.0,658.0,305.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,True,0,205.27298896834918
5,3.0,00:57:54,86861.0,4,1,A,3,點扣,1.0,,1.0,5.0,421.0,606.0,2.0,5.0,466.0,286.0,對手落地致勝,落地致勝,A,,8.0,518.0,603.0,8.0,599.0,299.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,True,1,321.2366728753117
7,9.0,00:58:48,88221.0,5,2,A,3,點扣,1.0,,1.0,3.0,475.0,618.0,2.0,1.0,461.0,405.0,掛網,對手掛網,B,,9.0,526.0,610.0,8.0,611.0,307.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,True,0,215.05813167606567
16,20.0,01:06:12,99307.0,11,5,A,3,點扣,1.0,,1.0,9.0,542.0,608.0,2.0,6.0,807.0,302.0,對手落地致勝,落地致勝,A,,8.0,559.0,606.0,8.0,594.0,293.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,True,1,392.3263947276553
20,11.0,01:10:11,105281.0,14,6,A,3,點扣,,,1.0,9.0,584.0,258.0,2.0,3.0,374.0,612.0,對手落地致勝,落地致勝,A,,9.0,608.0,262.0,8.0,639.0,527.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,True,1,421.01781434993933
21,9.0,01:10:47,106188.0,14,7,A,3,點扣,,,1.0,3.0,520.0,259.0,2.0,7.0,682.0,397.0,掛網,對手掛網,B,,3.0,526.0,262.0,8.0,630.0,563.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,True,0,206.30317496345035
26,9.0,01:13:40,110501.0,17,9,A,3,點扣,1.0,,1.0,4.0,778.0,260.0,2.0,13.0,894.0,663.0,出界,對手出界,B,,8.0,719.0,279.0,8.0,725.0,534.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,True,0,421.9964454826604
31,4.0,01:16:00,114016.0,20,11,B,3,點扣,,,1.0,8.0,776.0,577.0,2.0,5.0,504.0,282.0,對手落地致勝,落地致勝,B,,8.0,630.0,552.0,8.0,617.0,316.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,True,1,297.95301643044326
33,11.0,01:16:51,115285.0,21,12,B,3,點扣,1.0,,1.0,8.0,530.0,542.0,2.0,7.0,648.0,404.0,掛網,對手掛網,A,,8.0,553.0,543.0,5.0,533.0,304.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,True,0,168.36270370839262
10,5.0,00:12:26,22395.0,8,2,A,3,殺球,,,1.0,3.0,504.0,314.0,2.0,6.0,387.0,582.0,對手落地致勝,落地致勝,A,,9.0,572.0,318.0,8.0,667.0,576.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,1,322.3678023624568
13,6.0,00:13:33,24400.0,9,4,A,3,殺球,1.0,,1.0,9.0,736.0,313.0,2.0,15.0,935.0,597.0,出界,對手出界,B,,8.0,663.0,338.0,8.0,627.0,540.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,0,375.5862084794914
21,6.0,00:19:32,35173.0,13,8,B,3,點扣,,,1.0,8.0,742.0,604.0,2.0,5.0,455.0,354.0,對手落地致勝,落地致勝,B,,8.0,714.0,606.0,8.0,619.0,344.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,1,361.3654659759286
27,10.0,00:23:20,42000.0,17,10,A,3,殺球,,,1.0,8.0,633.0,341.0,2.0,8.0,651.0,604.0,對手落地致勝,落地致勝,A,,8.0,630.0,349.0,8.0,563.0,555.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,True,1,255.86324472264477
3,7.0,00:30:31,54934.0,2,1,A,3,殺球,,,1.0,5.0,795.0,556.0,2.0,13.0,790.0,297.0,出界,對手出界,B,,8.0,670.0,560.0,9.0,586.0,327.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,0,289.0830330545188
5,10.0,00:31:13,56199.0,4,1,B,3,殺球,1.0,,1.0,9.0,690.0,326.0,2.0,1.0,503.0,441.0,掛網,對手掛網,A,,8.0,649.0,339.0,8.0,637.0,533.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,0,178.10109488714548
11,3.0,00:35:19,63590.0,6,5,B,3,殺球,1.0,,1.0,8.0,728.0,347.0,2.0,7.0,705.0,442.0,掛網,對手掛網,A,,8.0,627.0,356.0,7.0,589.0,492.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,0,116.10340218959993
12,4.0,00:35:46,64384.0,7,5,B,3,殺球,,,1.0,9.0,727.0,314.0,2.0,7.0,557.0,442.0,掛網,對手掛網,A,,9.0,681.0,320.0,8.0,706.0,564.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,0,173.95401691251627
13,2.0,00:36:17,65329.0,7,6,B,3,殺球,,,1.0,,,,2.0,6.0,413.0,561.0,對手落地致勝,落地致勝,B,,8.0,690.0,337.0,8.0,691.0,549.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,1,356.23728047468586
24,21.0,00:43:06,77593.0,12,12,A,3,點扣,1.0,,1.0,6.0,463.0,554.0,2.0,7.0,762.0,423.0,未過網,對手未過網,B,,8.0,575.0,565.0,8.0,544.0,348.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,0,234.8041737278109
33,16.0,00:51:31,92730.0,17,16,B,3,殺球,,,1.0,9.0,731.0,316.0,2.0,5.0,894.0,586.0,對手落地致勝,落地致勝,B,,9.0,683.0,324.0,8.0,685.0,576.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,1,336.40005945302687
37,17.0,00:54:02,97265.0,19,18,A,3,點扣,,,1.0,8.0,742.0,530.0,2.0,6.0,832.0,350.0,對手落地致勝,落地致勝,A,,8.0,652.0,531.0,8.0,598.0,371.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,1,255.266527378738
40,16.0,00:56:41,102041.0,19,21,A,3,點扣,,,1.0,4.0,434.0,627.0,2.0,7.0,703.0,454.0,掛網,對手掛網,B,,8.0,515.0,613.0,8.0,571.0,362.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,True,0,246.22144504490262
5,5.0,01:01:57,111527.0,3,2,A,3,殺球,,,1.0,8.0,541.0,334.0,2.0,1.0,501.0,446.0,掛網,對手掛網,B,,8.0,618.0,348.0,7.0,734.0,507.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set3.csv,True,0,152.620444239951
40,11.0,01:24:59,152992.0,20,20,B,3,殺球,,,1.0,9.0,644.0,325.0,2.0,7.0,746.0,447.0,掛網,對手掛網,A,,9.0,632.0,328.0,8.0,666.0,574.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set3.csv,True,0,164.7938105633825
2,9.0,00:09:53,17802.0,2,0,A,3,殺球,,,1.0,8.0,619.0,532.0,2.0,8.0,744.0,361.0,對手落地致勝,落地致勝,A,,8.0,562.0,539.0,8.0,556.0,326.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,1,254.57415422622933
4,3.0,00:10:37,19130.0,3,1,B,3,點扣,1.0,,1.0,9.0,733.0,313.0,2.0,2.0,786.0,436.0,掛網,對手掛網,A,,9.0,722.0,315.0,8.0,663.0,543.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,0,136.88316185711082
5,22.0,00:11:16,20308.0,3,2,B,3,殺球,,,1.0,9.0,534.0,312.0,2.0,5.0,874.0,564.0,對手落地致勝,落地致勝,B,,9.0,560.0,314.0,8.0,607.0,573.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,1,401.36766187624033
7,12.0,00:12:18,22157.0,4,3,B,3,殺球,,,1.0,3.0,477.0,315.0,2.0,5.0,873.0,548.0,對手落地致勝,落地致勝,B,,3.0,504.0,315.0,8.0,558.0,587.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,1,436.4057744805859
9,5.0,00:13:03,23512.0,5,4,A,3,殺球,1.0,,1.0,4.0,433.0,625.0,2.0,11.0,875.0,339.0,出界,對手出界,B,,4.0,444.0,626.0,8.0,612.0,349.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,0,517.8127074531872
13,5.0,00:15:16,27507.0,6,7,B,3,殺球,1.0,,1.0,4.0,798.0,315.0,2.0,5.0,918.0,615.0,對手落地致勝,落地致勝,B,,4.0,783.0,312.0,8.0,671.0,547.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,1,331.71373200396755
15,16.0,00:16:31,29731.0,7,8,B,3,殺球,1.0,,1.0,8.0,729.0,326.0,2.0,9.0,678.0,650.0,對手落地致勝,落地致勝,B,,9.0,710.0,321.0,8.0,650.0,559.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,1,330.55256768024054
19,9.0,00:18:36,33506.0,10,9,A,3,殺球,1.0,,1.0,4.0,457.0,621.0,2.0,5.0,470.0,328.0,對手落地致勝,落地致勝,A,,4.0,468.0,627.0,7.0,712.0,394.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,1,299.0066888883926
22,7.0,00:21:20,38409.0,13,9,A,3,殺球,1.0,,1.0,4.0,449.0,622.0,2.0,3.0,448.0,322.0,對手落地致勝,落地致勝,A,,4.0,457.0,628.0,8.0,648.0,349.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,1,306.13232433050905
33,4.0,00:27:48,50065.0,18,15,A,3,殺球,,,1.0,8.0,537.0,613.0,2.0,5.0,461.0,356.0,對手落地致勝,落地致勝,A,,8.0,559.0,590.0,8.0,592.0,348.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,1,253.69272752682525
35,4.0,00:29:16,52680.0,20,15,B,3,殺球,,,1.0,8.0,646.0,328.0,2.0,7.0,532.0,427.0,掛網,對手掛網,A,,9.0,651.0,323.0,8.0,590.0,583.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,0,158.04113388608675
37,24.0,00:30:52,55560.0,21,16,A,3,點扣,1.0,,1.0,4.0,448.0,632.0,2.0,5.0,476.0,379.0,對手落地致勝,落地致勝,A,,4.0,458.0,623.0,8.0,619.0,340.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set1.csv,True,1,244.6630335788388
6,4.0,00:35:08,63245.0,1,5,A,3,殺球,,,1.0,3.0,498.0,315.0,2.0,6.0,396.0,573.0,對手落地致勝,落地致勝,A,,9.0,546.0,312.0,8.0,609.0,565.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set2.csv,True,1,301.03322075810837
10,2.0,00:36:19,65382.0,1,9,A,3,殺球,,,1.0,3.0,525.0,313.0,2.0,11.0,366.0,559.0,出界,對手出界,B,,9.0,564.0,317.0,8.0,616.0,556.0,0,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,set2.csv,True,0,312.6787488781417
