rally,ball_round,time,frame_num,roundscore_a,roundscore_b,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,__match_name,__set_file,rally_winner,smash_success,landing_x_m,player_location_x_m,landing_y_m,player_location_y_m,distance_to_birdie_m,depth_m,width_m,to_center_m,to_back_m,depth_x_width,match_mode,in_court,in_court_flag
8,16.0,00:30:36,55098.0,5,3,A,3,殺球,1.0,,1.0,4.0,762.0,312.0,2.0,6.0,411.0,547.0,對手落地致勝,落地致勝,A,,8.0,705.0,324.0,8.0,662.0,536.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,A,1,1.309198113207547,3.4240566037735847,9.086301369863014,2.2639269406392692,7.142647918499502,9.086301369863014,1.309198113207547,1.7408018867924528,4.313698630136987,15.817450568622384,singles,True,1
22,8.0,00:39:04,70320.0,13,9,B,3,殺球,,,1.0,5.0,880.0,552.0,2.0,6.0,758.0,336.0,對手落地致勝,落地致勝,B,,5.0,885.0,548.0,8.0,686.0,331.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,B,1,3.8053066037735843,4.718867924528301,2.631050228310502,9.11689497716895,6.549868425630687,2.631050228310502,3.8053066037735843,0.7553066037735845,10.768949771689499,1.9872496123029195,singles,True,1
29,9.0,00:43:37,78514.0,17,12,A,3,殺球,,,1.0,8.0,579.0,326.0,2.0,6.0,402.0,561.0,對手落地致勝,落地致勝,A,,8.0,612.0,335.0,8.0,679.0,541.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,A,1,1.2444575471698112,2.755070754716981,9.51461187214612,2.6004566210045663,7.077251945473205,9.51461187214612,1.2444575471698112,1.8055424528301887,3.885388127853881,17.179035657361936,singles,True,1
37,7.0,00:48:52,87988.0,20,17,B,3,殺球,,,1.0,8.0,537.0,609.0,2.0,5.0,447.0,328.0,對手落地致勝,落地致勝,B,,8.0,534.0,599.0,8.0,619.0,357.0,0,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set2.csv,B,1,1.5681603773584905,2.1939858490566038,2.3863013698630136,10.677168949771689,8.314453845479383,2.3863013698630136,1.5681603773584905,1.4818396226415094,11.013698630136986,3.536115921426725,singles,True,1
3,6.0,00:08:09,14690.0,1,2,B,3,殺球,,,1.0,9.0,564.0,629.0,2.0,6.0,833.0,364.0,對手落地致勝,落地致勝,B,,9.0,560.0,617.0,8.0,610.0,355.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,B,1,4.344811320754716,2.381014150943396,3.4876712328767123,11.22785388127854,7.985419635484392,3.4876712328767123,4.344811320754716,1.2948113207547163,9.912328767123288,4.515876195399326,singles,True,1
4,2.0,00:08:28,15241.0,1,3,A,3,殺球,,,1.0,,,,2.0,7.0,735.0,411.0,掛網,對手掛網,B,,9.0,597.0,311.0,8.0,651.0,543.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,B,0,3.6398584905660374,2.6471698113207545,4.925570776255708,1.8662100456621005,3.21638288980028,4.925570776255708,3.6398584905660374,0.5898584905660376,8.474429223744291,2.905389743258378,singles,True,1
7,7.0,00:09:43,17519.0,1,6,B,3,殺球,,,1.0,5.0,824.0,572.0,2.0,5.0,463.0,368.0,對手落地致勝,落地致勝,B,,8.0,770.0,561.0,8.0,632.0,350.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,B,1,1.6832547169811318,3.891627358490566,3.6100456621004566,9.51461187214612,6.304031396858709,3.6100456621004566,1.6832547169811318,1.366745283018868,9.789954337899545,4.934012880158526,singles,True,1
16,4.0,00:14:15,25676.0,7,9,B,3,殺球,,,1.0,7.0,654.0,505.0,2.0,8.0,731.0,322.0,對手落地致勝,落地致勝,B,,8.0,621.0,521.0,7.0,604.0,408.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,B,1,3.611084905660377,2.8198113207547166,2.202739726027397,8.290867579908676,6.139333404480858,2.202739726027397,3.611084905660377,0.561084905660377,11.197260273972603,1.2359240113724468,singles,True,1
19,16.0,00:17:02,30676.0,8,11,A,3,殺球,,,1.0,8.0,524.0,330.0,2.0,6.0,394.0,596.0,對手落地致勝,落地致勝,A,,8.0,535.0,330.0,8.0,654.0,532.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,A,1,1.1869103773584904,2.2011792452830186,10.585388127853882,2.4474885844748857,8.20086277866963,10.585388127853882,1.1869103773584904,1.8630896226415095,2.814611872146118,19.721526772637205,singles,True,1
24,10.0,00:19:32,35174.0,12,12,B,3,殺球,,,1.0,8.0,553.0,604.0,2.0,11.0,847.0,339.0,出界,對手出界,A,,8.0,611.0,567.0,8.0,621.0,342.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,A,0,4.445518867924528,2.7478773584905656,2.7228310502283106,9.698173515981736,7.178954604195258,2.7228310502283106,4.445518867924528,1.3955188679245278,10.67716894977169,3.799762104764365,singles,True,1
34,8.0,00:25:54,46648.0,18,16,A,3,殺球,1.0,,1.0,9.0,749.0,313.0,2.0,6.0,448.0,522.0,對手落地致勝,落地致勝,A,,9.0,641.0,317.0,8.0,609.0,517.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set1.csv,A,1,1.5753537735849055,2.9636792452830187,8.321461187214611,2.049771689497717,6.423514362958813,8.321461187214611,1.5753537735849055,1.4746462264150944,5.078538812785389,12.271211337985697,singles,True,1
2,6.0,00:34:07,61419.0,1,1,B,3,殺球,,,1.0,4.0,802.0,314.0,2.0,15.0,970.0,606.0,出界,對手出界,A,,9.0,729.0,316.0,8.0,743.0,564.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,A,0,5.330306603773584,3.596698113207547,10.891324200913242,2.0191780821917806,9.039932253645873,10.891324200913242,5.330306603773584,2.2803066037735844,2.508675799086758,24.835558499181523,singles,True,1
8,3.0,00:36:54,66444.0,5,3,A,3,殺球,,,1.0,5.0,855.0,578.0,2.0,11.0,856.0,324.0,出界,對手出界,B,,8.0,740.0,581.0,8.0,600.0,338.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,B,0,4.510259433962264,3.6758254716981127,2.2639269406392692,10.12648401826484,7.906711316109866,2.2639269406392692,4.510259433962264,1.460259433962264,11.136073059360731,3.3059206728698194,singles,True,1
12,6.0,00:39:31,71152.0,6,6,B,3,殺球,1.0,,1.0,4.0,785.0,317.0,2.0,3.0,910.0,618.0,對手落地致勝,落地致勝,B,,8.0,716.0,328.0,8.0,716.0,525.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,B,1,4.898702830188679,3.5031839622641505,11.258447488584475,2.3863013698630136,8.981227625590925,11.258447488584475,4.898702830188679,1.848702830188679,2.141552511415526,20.813523735676743,singles,True,1
14,4.0,00:40:24,72748.0,8,6,B,3,點扣,1.0,,1.0,9.0,719.0,319.0,2.0,15.0,953.0,610.0,出界,對手出界,A,,8.0,645.0,348.0,7.0,566.0,485.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,A,0,5.208018867924528,2.992452830188679,11.013698630136986,2.998173515981735,8.316091372948115,11.013698630136986,5.208018867924528,2.158018867924528,2.3863013698630144,23.767769449470144,singles,True,1
15,15.0,00:41:00,73815.0,8,7,A,3,殺球,1.0,,1.0,8.0,507.0,561.0,2.0,7.0,646.0,450.0,掛網,對手掛網,B,,8.0,602.0,550.0,8.0,648.0,369.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,B,0,2.999646226415094,2.6831367924528298,6.1187214611872145,9.178082191780822,3.0756895652333585,6.1187214611872145,2.999646226415094,0.05035377358490578,7.281278538812786,0.30810071508572484,singles,True,1
17,5.0,00:42:09,75885.0,9,8,B,3,殺球,1.0,,1.0,4.0,784.0,314.0,2.0,11.0,355.0,536.0,出界,對手出界,A,,9.0,716.0,316.0,8.0,715.0,544.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,A,0,0.9063679245283018,3.5031839622641505,8.749771689497717,2.0191780821917806,7.214176587840752,8.749771689497717,0.9063679245283018,2.143632075471698,4.650228310502284,18.756291246661497,singles,True,1
27,7.0,00:48:49,87897.0,15,12,A,3,殺球,,,1.0,5.0,876.0,578.0,2.0,6.0,774.0,337.0,對手落地致勝,落地致勝,A,,5.0,855.0,568.0,8.0,654.0,350.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,A,1,3.920400943396226,4.503066037735849,2.6616438356164385,9.728767123287671,7.091102183392005,2.6616438356164385,3.920400943396226,0.8704009433962261,10.738356164383562,2.316697305505298,singles,True,1
28,15.0,00:49:24,88924.0,16,12,A,3,殺球,,,1.0,7.0,742.0,489.0,2.0,8.0,734.0,353.0,對手落地致勝,落地致勝,A,,7.0,730.0,480.0,8.0,535.0,325.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,A,1,3.632665094339622,3.603891509433962,3.1511415525114157,7.036529680365297,3.885494669055179,3.1511415525114157,3.632665094339622,0.5826650943396223,10.248858447488585,1.836060189971568,singles,True,1
30,4.0,00:50:30,90917.0,18,12,B,3,殺球,1.0,,1.0,4.0,774.0,318.0,2.0,11.0,344.0,535.0,出界,對手出界,A,,8.0,744.0,324.0,8.0,717.0,558.0,0,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,set2.csv,A,0,0.8272405660377358,3.704599056603773,8.719178082191782,2.2639269406392692,7.0674931329112365,8.719178082191782,0.8272405660377358,2.2227594339622643,4.680821917808219,19.380635338588785,singles,True,1
5,13.0,00:11:22,17056.0,1,4,B,3,點扣,1.0,,1.0,9.0,738.0,257.0,2.0,7.0,641.0,392.0,掛網,對手掛網,A,,9.0,675.0,254.0,8.0,689.0,523.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,A,0,2.9636792452830187,3.208254716981132,4.3442922374429225,0.1223744292237443,4.228995996772116,4.3442922374429225,2.9636792452830187,0.08632075471698109,9.055707762557077,0.37500258464719544,singles,True,1
16,7.0,00:17:53,26837.0,9,7,B,3,點扣,,,1.0,5.0,510.0,275.0,2.0,7.0,633.0,398.0,掛網,對手掛網,A,,8.0,568.0,283.0,8.0,565.0,498.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,A,0,2.9061320754716977,2.4385613207547165,4.5278538812785385,1.0095890410958903,3.5491984864659294,4.5278538812785385,2.9061320754716977,0.1438679245283021,8.872146118721462,0.6514129404669605,singles,True,1
25,36.0,00:25:08,37712.0,14,11,A,3,點扣,1.0,,1.0,8.0,613.0,598.0,2.0,6.0,815.0,280.0,對手落地致勝,落地致勝,A,,8.0,610.0,602.0,8.0,606.0,296.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,A,1,4.2153301886792445,2.740683962264151,0.9178082191780822,10.768949771689497,9.960902136889876,0.9178082191780822,4.2153301886792445,1.1653301886792446,12.482191780821918,1.069549625226156,singles,True,1
31,12.0,00:29:52,44816.0,18,13,B,3,點扣,1.0,,1.0,9.0,713.0,262.0,2.0,7.0,595.0,399.0,掛網,對手掛網,A,,9.0,683.0,261.0,8.0,684.0,524.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set1.csv,A,0,2.6327830188679244,3.2658018867924525,4.558447488584475,0.3365296803652968,4.2691103132276496,4.558447488584475,2.6327830188679244,0.4172169811320754,8.841552511415525,1.9018616998363054,singles,True,1
2,11.0,00:35:35,53375.0,1,1,A,3,點扣,,,1.0,9.0,564.0,260.0,2.0,1.0,476.0,401.0,掛網,對手掛網,B,,9.0,617.0,270.0,8.0,649.0,530.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,B,0,1.7767688679245282,2.791037735849056,4.619634703196347,0.6118721461187214,4.134114421536284,4.619634703196347,1.7767688679245282,1.2732311320754717,8.780365296803653,5.8818627229258205,singles,True,1
7,11.0,00:38:09,57240.0,3,4,B,3,點扣,1.0,,1.0,3.0,474.0,631.0,2.0,11.0,841.0,295.0,出界,對手出界,A,,9.0,526.0,631.0,8.0,601.0,311.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,A,0,4.402358490566037,2.1364386792452827,1.3767123287671232,11.656164383561643,10.526230433453144,1.3767123287671232,4.402358490566037,1.3523584905660373,12.023287671232877,1.861808606875161,singles,True,1
13,14.0,00:43:22,65074.0,3,10,A,3,點扣,,,1.0,3.0,537.0,265.0,2.0,1.0,492.0,398.0,掛網,對手掛網,B,,8.0,623.0,276.0,8.0,672.0,503.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,B,0,1.8918632075471695,2.8341981132075467,4.5278538812785385,0.7954337899543379,3.8495395585117067,4.5278538812785385,1.8918632075471695,1.1581367924528303,8.872146118721462,5.243874170759025,singles,True,1
14,15.0,00:44:21,66527.0,3,11,B,3,點扣,1.0,,1.0,5.0,461.0,593.0,2.0,6.0,800.0,280.0,對手落地致勝,落地致勝,B,,8.0,499.0,589.0,8.0,596.0,295.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,B,1,4.107429245283019,1.9422169811320753,0.9178082191780822,10.371232876712329,9.69821539792276,0.9178082191780822,4.107429245283019,1.0574292452830187,12.482191780821918,0.9705172525200308,singles,True,1
21,5.0,00:48:23,72591.0,6,15,A,3,殺球,1.0,,1.0,8.0,687.0,272.0,2.0,6.0,873.0,546.0,對手落地致勝,落地致勝,A,,8.0,687.0,284.0,8.0,699.0,567.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,A,1,4.63254716981132,3.294575471698113,9.055707762557077,1.0401826484018264,8.126426712928966,9.055707762557077,4.63254716981132,1.5825471698113205,4.344292237442923,14.331084690273107,singles,True,1
22,3.0,00:48:50,73268.0,6,16,A,3,點扣,,,1.0,9.0,558.0,264.0,2.0,11.0,928.0,532.0,出界,對手出界,B,,8.0,598.0,272.0,8.0,658.0,524.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,B,0,5.02818396226415,2.6543632075471697,8.627397260273973,0.6730593607305936,8.300994903964058,8.627397260273973,5.02818396226415,1.9781839622641506,4.772602739726027,17.066578896355647,singles,True,1
29,3.0,00:51:36,77404.0,10,19,A,3,點扣,1.0,,1.0,8.0,642.0,282.0,2.0,5.0,481.0,526.0,對手落地致勝,落地致勝,A,,8.0,627.0,302.0,8.0,649.0,571.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set2.csv,A,1,1.8127358490566037,2.862971698113207,8.443835616438356,1.5908675799086758,6.932976723481849,8.443835616438356,1.8127358490566037,1.2372641509433961,4.956164383561644,10.447255104678211,singles,True,1
2,9.0,00:55:40,83509.0,1,1,A,3,點扣,,,1.0,8.0,691.0,587.0,2.0,7.0,578.0,403.0,掛網,對手掛網,B,,8.0,669.0,587.0,8.0,658.0,305.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,B,0,2.5104952830188676,3.165094339622641,4.6808219178082195,10.310045662100457,5.667156243497268,4.6808219178082195,2.5104952830188676,0.5395047169811322,8.719178082191782,2.525325504006204,singles,True,1
5,3.0,00:57:54,86861.0,4,1,A,3,點扣,1.0,,1.0,5.0,421.0,606.0,2.0,5.0,466.0,286.0,對手落地致勝,落地致勝,A,,8.0,518.0,603.0,8.0,599.0,299.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,A,1,1.704834905660377,2.078891509433962,1.1013698630136985,10.799543378995434,9.705384479190723,1.1013698630136985,1.704834905660377,1.3451650943396227,12.298630136986302,1.4815242956836392,singles,True,1
7,9.0,00:58:48,88221.0,5,2,A,3,點扣,1.0,,1.0,3.0,475.0,618.0,2.0,1.0,461.0,405.0,掛網,對手掛網,B,,9.0,526.0,610.0,8.0,611.0,307.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,B,0,1.6688679245283018,2.1364386792452827,4.742009132420091,11.013698630136986,6.289094653957674,4.742009132420091,1.6688679245283018,1.381132075471698,8.657990867579908,6.549340914965107,singles,True,1
16,20.0,01:06:12,99307.0,11,5,A,3,點扣,1.0,,1.0,9.0,542.0,608.0,2.0,6.0,807.0,302.0,對手落地致勝,落地致勝,A,,8.0,559.0,606.0,8.0,594.0,293.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,A,1,4.157783018867924,2.3738207547169807,1.5908675799086758,10.891324200913242,9.470006056972839,1.5908675799086758,4.157783018867924,1.1077830188679245,11.809132420091325,1.762336090290342,singles,True,1
20,11.0,01:10:11,105281.0,14,6,A,3,點扣,,,1.0,9.0,584.0,258.0,2.0,3.0,374.0,612.0,對手落地致勝,落地致勝,A,,9.0,608.0,262.0,8.0,639.0,527.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,A,1,1.0430424528301885,2.7262971698113203,11.07488584474886,0.36712328767123287,10.839258527269882,11.07488584474886,1.0430424528301885,2.0069575471698116,2.325114155251141,22.226825730162837,singles,True,1
21,9.0,01:10:47,106188.0,14,7,A,3,點扣,,,1.0,3.0,520.0,259.0,2.0,7.0,682.0,397.0,掛網,對手掛網,B,,3.0,526.0,262.0,8.0,630.0,563.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,B,0,3.2586084905660373,2.1364386792452827,4.497260273972603,0.36712328767123287,4.2798710974811165,4.497260273972603,3.2586084905660373,0.20860849056603747,8.902739726027399,0.9381666774360288,singles,True,1
26,9.0,01:13:40,110501.0,17,9,A,3,點扣,1.0,,1.0,4.0,778.0,260.0,2.0,13.0,894.0,663.0,出界,對手出界,B,,8.0,719.0,279.0,8.0,725.0,534.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,B,0,4.783608490566038,3.524764150943396,12.635159817351598,0.8872146118721461,11.815198077998845,12.635159817351598,4.783608490566038,1.7336084905660378,0.7648401826484026,21.90442033901956,singles,True,1
31,4.0,01:16:00,114016.0,20,11,B,3,點扣,,,1.0,8.0,776.0,577.0,2.0,5.0,504.0,282.0,對手落地致勝,落地致勝,B,,8.0,630.0,552.0,8.0,617.0,316.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,B,1,1.9781839622641508,2.8845518867924524,0.9789954337899544,9.239269406392694,8.30985131738661,0.9789954337899544,1.9781839622641508,1.071816037735849,12.421004566210046,1.0493030068062377,singles,True,1
33,11.0,01:16:51,115285.0,21,12,B,3,點扣,1.0,,1.0,8.0,530.0,542.0,2.0,7.0,648.0,404.0,掛網,對手掛網,A,,8.0,553.0,543.0,5.0,533.0,304.0,0,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,set3.csv,A,0,3.014033018867924,2.33066037735849,4.711415525114155,8.96392694063927,4.30706994444425,4.711415525114155,3.014033018867924,0.03596698113207575,8.688584474885845,0.1694553932971496,singles,True,1
10,5.0,00:12:26,22395.0,8,2,A,3,殺球,,,1.0,3.0,504.0,314.0,2.0,6.0,387.0,582.0,對手落地致勝,落地致勝,A,,9.0,572.0,318.0,8.0,667.0,576.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,A,1,1.1365566037735848,2.467334905660377,10.157077625570777,2.080365296803653,8.185612556823806,10.157077625570777,1.1365566037735848,1.913443396226415,3.2429223744292237,19.43499310760748,singles,True,1
13,6.0,00:13:33,24400.0,9,4,A,3,殺球,1.0,,1.0,9.0,736.0,313.0,2.0,15.0,935.0,597.0,出界,對手出界,B,,8.0,663.0,338.0,8.0,627.0,540.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,B,0,5.078537735849056,3.1219339622641504,10.615981735159817,2.6922374429223743,8.161741354366244,10.615981735159817,5.078537735849056,2.0285377358490564,2.784018264840183,21.53491955285603,singles,True,1
21,6.0,00:19:32,35173.0,13,8,B,3,點扣,,,1.0,8.0,742.0,604.0,2.0,5.0,455.0,354.0,對手落地致勝,落地致勝,B,,8.0,714.0,606.0,8.0,619.0,344.0,0,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,set1.csv,B,1,1.6257075471698113,3.4887971698113205,3.1817351598173516,10.891324200913242,7.931510961007388,3.1817351598173516,1.6257075471698113,1.4242924528301886,10.218264840182648,4.5317213750323075,singles,True,1
